Routing Number,Name,City,State
011305202,MILLBURY NATIONAL BANK,MILLBURY,MA
011305260,INST FOR SVGS NEWBURYPORT,NEWBURYPORT,MA
011305684,ROCKLAND TRUST COMPANY,PLYMOUTH,MA
011305749,TD BANK NA,LEWISTON,ME
011306492,EASTERN BANK,LYNN,MA
011306971,ROCKLAND TRUST COMPANY,PLYMOUTH,MA
011307077,EASTERN BANK,LYNN,MA
011307116,MANUFACTURERS & TRADERS TRUST CO,AMHERST,NY
011307129,LEADER BANK   N.A.,ARLINGTON,MA
011307158,STATE STREET BANK & TRUST,N QUINCY,MA
011307161,EASTERN BANK,LYNN,MA
011307174,ROCKLAND TRUST COMPANY,PLYMOUTH,MA
011307187,NORTHMARK BANK,NORTH ANDOVER,MA
011307213,BROOKLINE BANK,LINCOLN,RI
011307268,LEADER BANK  N.A.,ARLINGTON,MA
011307271,FIDELITY PAYMENTS  DIV OF LEADER BK,ARLINGTON,MA
011375164,BROOKLINE BANK,LINCOLN,RI
011375245,SANTANDER BANK  N.A.,WYOMISSING,PA
011375274,EAST CAMBRIDGE SAVINGS BANK,CAMBRIDGE,MA
011375368,BROOKLINE BANK,LINCOLN,RI
011375384,AVIDIA BANK,HUDSON,MA
011375410,MIDDLESEX FEDERAL SAVINGS FA,SOMERVILLE,MA
011375436,BANKPROV,AMESBURY,MA
011375449,BANKPROV,AMESBURY,MA
011375452,BANKPROV,AMESBURY,MA
011392626,MORTON FEDERAL CREDIT UNION,TAUNTON,MA
011400071,TD BANK NA,LEWISTON,ME
011400149,ST MARY'S BANK,MANCHESTER,NH
011400495,BANK OF AMERICA  N.A.,HENRICO,VA
011401135,SANTANDER BANK  N.A.,LAWRENCE,MA
011401533,CITIZENS BANK NA,RIVERSIDE,RI
011401850,BANK OF NEW ENGLAND,SALEM,NH
011401876,MANUFACTURERS & TRADERS TRUST CO,AMHERST,NY
011401928,MERRIMACK COUNTY SVGS BANK,CONCORD,NH
011401960,MANUFACTURERS & TRADERS TRUST CO,AMHERST,NY
011402008,KEY BANK,ALBANY,NY
011402024,EASTERN BANK,LYNN,MA
011402053,NBT BANK NA,NORWICH,NY
011402066,BAR HARBOR BANK & TRUST,ELLSWORTH,ME
011402079,CAMBRIDGE TRUST COMPANY,CAMBRIDGE,MA
011402105,PRIMARY BANK,BEDFORD,NH
011402118,MILLYARD BANK,NASHUA,NH
011402121,WALDEN MUTUAL BANK,CONCORD,NH
011500010,BANK OF AMERICA  N.A.,HENRICO,VA
011500120,CITIZENS BANK  NATIONAL ASSOCIATION,RIVERSIDE,RI
011500858,WASHINGTON TRUST COMPANY,WESTERLY,RI
011500913,CENTREVILLE BANK,WEST WARWICK,RI
011501035,BANK OF AMERICA N.A.,RICHMOND,VA
011501598,BERKSHIRE BANK,PITTSFIELD,MA
011501682,BANK RHODE ISLAND,LINCOLN,RI
011501705,BRISTOL COUNTY SVGS BANK,TAUNTON,MA
011501718,INDEPENDENCE BANK,EAST GREENWICH,RI
011501747,U.S. BANK NA,ST. PAUL,MN
011501750,THE WASHINGTON TRUST COMPANY,WESTERLY,RI
011501763,BANK RHODE ISLAND,LINCOLN,RI
011575236,AXOS BANK,SAN DIEGO,CA
011592675,WESTERLY COMMUNITY CREDIT UNION,WESTERLY,RI
011600020,COMMUNITY BANK  NA,CANTON,NY
011600033,TD BANK NA,LEWISTON,ME
011600062,MANUFACTURERS & TRADERS TRUST CO,AMHERST,NY
011600486,MANUFACTURERS & TRADERS TRUST CO,AMHERST,NY
011600525,TD BANK NA,LEWISTON,ME
011600567,PEO TR CO ST ALBANS,ST. ALBANS,VT
011600570,TD BANK NA,LEWISTON,ME
011600622,MANUFACTURERS & TRADERS TRUST CO,AMHERST,NY
011600774,BAR HARBOR BANK & TRUST,ELLSWORTH,ME
011600868,COMMUNITY NATIONAL BANK,DERBY,VT
011601029,COMMUNITY NATIONAL BANK,NEWPORT,VT
011601074,BERKSHIRE BANK,PITTSFIELD MA,VT
011601087,NATL BANK OF MIDDLEBURY,MIDDLEBURY,VT
011601100,THE UNION BANK,MORRISVILLE,VT
011601142,FIRST NAT BANK OF ORWELL,ORWELL,VT
011601171,BAR HARBOR BANK & TRUST,ELLSWORTH,ME
011601236,BAR HARBOR BANK & TRUST,ELLSWORTH,ME
011601265,MANUFACTURERS & TRADERS TRUST CO,AMHERST,NY
011601443,CITIZENS ACCESS  DIV. OF CITIZENS BK,RIVERSIDE,RI
011601456,BANK OF BURLINGTON,SO. BURLINGTON,VT
011692588,OPPORTUNITIES CREDIT UNION,WINOOSKI,VT
011700425,NORTHWAY BANK,BERLIN,NH
011701288,NORTHWAY BANK,BERLIN,NH
011701314,BANGOR SAVINGS BANK,BANGOR,ME
011701660,BAR HARBOR BANK & TRUST,ELLSWORTH,ME
011701987,LEDYARD NATIONAL BANK,WEST LEBANON,NH
011736020,U.S. TREASURY (STORED VALUE CARD),BOSTON,MA
011736114,U.S. TREASURY (STORED VALUE CARD),BOSTON,MA
011736525,U.S. TREASURY (SVC) NAVY CASH,BOSTON,MA
011775285,MASCOMA SAVINGS BANK,WHITE RIVER,VT
011775379,SUGAR RIVER BANK,NEWPORT,NH
011802488,MANUFACTURERS & TRADERS TRUST CO,AMHERST,NY
011805388,ADAMS COMMUNITY BANK,ADAMS,MA
011807043,KEYBANK NATIONAL ASSOCIATION,ALBANY,NY
011807205,COMMUNITY BANK  NA,CANTON,NY
011807247,NEW VALLEY BANK & TRUST,SPRINGFIELD,MA
011875428,PEOPLESBANK,HOLYOKE,MA
011900254,BANK OF AMERICA N.A.,RICHMOND,VA
011900445,BANK OF AMERICA N.A,RICHMOND,VA
011900571,BANK OF AMERICA  N.A.,HENRICO,VA
011900652,BANK OF AMERICA N.A.,RICHMOND,VA
011910697,BERKSHIRE BANK,PITTSFIELD,MA
021000018,BANK OF NEW YORK MELLON,PITTSBURGH,PA
021000021,JPMORGAN CHASE BANK  NA,TAMPA,FL
021000089,CITIBANK NA,NEW CASTLE,DE
021000128,JPMORGAN CHASE BANK  NA,TAMPA,FL
021000322,BANK OF AMERICA  N.A.,RICHMOND,VA
021000678,BANK OF NEW YORK MELLON,PITTSBURGH,PA
021001033,DEUTSCHE BANK TRUST CO AMERICAS,JERSEY CITY,NJ
021001088,HSBC BANK USA  N.A.,BUFFALO,NY
021001208,FEDERAL RESERVE BANK,EAST RUTHERFORD,NJ
021001318,BANK OF AMERICA,RICHMOND,VA
021001486,CITIBANK N.A.,NEW CASTLE,DE
021004823,HSBC BANK  USA,BUFFALO,NY
021031207,JPMORGAN CHASE BANK  NA,TAMPA,FL
021033205,FREDDIE MAC,MCLEAN,VA
021039500,FANNIE MAE,WASHINGTON,DC
021039513,FREDDIE MAC,MCLEAN,VA
021050466,DISBURSING DIVISION - NEW YORK,EAST RUTHERFORD,NJ
021052053,JOINT UPIC ACCOUNT,WINSTON-SALEM,NC
021053939,CORPORATE GROUP,EAST RUTHERFORD,NJ
021100361,JPMORGAN CHASE BANK  NA,TAMPA,FL
021101108,WELLS FARGO BANK,MINNEAPOLIS,MN
021101438,WEBSTER BANK,NEW BRITIAN,CT
021101470,BANK OF NEW YORK MELLON,PITTSBURGH,PA
021110209,KEYBANK NATIONAL ASSOCIATION,ALBANY,NY
021110966,BANKWELL BANK,NEW CANAAN,CT
021111800,WEBSTER BANK  N.A.,NEW BRITAIN,CT
021112935,PATRIOT BANK  NATIONAL ASSOCIATION,STAMFORD,CT
021113125,THE GREENWICH BANK & TRUST CO.,FAIRFIELD,CT
021113196,FAIRFIELD COUNTY BANK CORP,RIDGEFIELD,CT
021113251,WESTPORT NATIONAL BANK,FAIRFIELD,CT
021113662,BANKWELL BANK,NEW CANAAN,CT
021114111,DR BANK,DARIEN,CT
021114153,THE FIRST BANK OF GREENWICH,COS COB,CT
021114205,JPMORGAN CHASE BANK  NA,TAMPA,FL
021114263,HSBC NATIONAL BANK USA,STAMFORD,CT
021114483,BANKWELL BANK,NEW CANAAN,CT
021114771,BANKWELL BANK,NEW CANAAN,CT
021114784,BANKWELL BANK,FAIRFIELD,CT
021115042,PATRIOT BANK  NATIONAL ASSOCIATION,STAMFORD,CT
021115084,PATRIOT BANK N.A.,STAMFORD,CT
021172661,FLAGSTAR BANK  NA,HICKSVILLE,NY
021172768,NEWTOWN SAVINGS BANK,NEWTOWN,CT
021172784,FIELDPOINT PRIVATE BANK & TRUST,GREENWICH,CT
021200012,PNC BANK NEWARK,PITTSBURGH,PA
021200025,WELLS FARGO BANK,MINNEAPOLIS,MN
021200339,BANK OF AMERICA N.A.,HENRICO,VA
021200407,CAPITAL ONE  N.A.,RICHMOND,VA
021200559,WELLS FARGO BANK,MINNEAPOLIS,MN
021200575,PNC BANK N.A.,PITTSBURGH,PA
021200957,TD BANK  NA,LEWISTON,ME
021201011,WELLS FARGO BANK,MINNEAPOLIS,MN
021201383,VALLEY NATIONAL BANK,WAYNE,NJ
021201503,TD BANK NA,LEWISTON,ME
021201600,VALLEY NATIONAL BANK,WAYNE,NJ
021201639,INDUSTRIAL BANK,WASHINGTON,DC
021201943,PNC BANK,PITTSBURGH,PA
021202162,BANK OF AMERICA N.A,RICHMOND,VA
021202191,PNC BANK,PITTSBURGH,PA
021202311,PNC BANK N.A.,PITTSBURGH,PA
021202337,JPMORGAN CHASE BANK  NA,TAMPA,FL
021202447,PNC BANK N.A.,PITTSBURGH,PA
021202609,BANK OF AMERICA  N.A.,RICHMOND,VA
021202719,JPMORGAN CHASE BANK  NA,TAMPA,FL
021203310,LAKELAND BANK,OAK RIDGE,NJ
021203792,LAKELAND BANK,OAK RIDGE,NJ
021204403,VALLEY NATIONAL BANK,WAYNE,NJ
021204416,AMBOY BANK,OLD BRIDGE,NJ
021204597,FIRST HOPE BANK,COLUMBIA,NJ
021205237,PEAPACK-GLADSTONE BANK,BEDMINSTER,NJ
021205376,LAKELAND BANK,OAKRIDGE,NJ
021205499,THE PROVIDENT BANK,JERSEY CITY,NJ
021205648,CONNECTONE BANK,ENGLEWOOD CLIFFS,NJ
021205871,TD BANK NA,LEWISTON,ME
021206074,SANTANDER BANK,READING,PA
021206249,PROVIDENT BANK,ISELIN,NJ
021206278,AMBOY BANK,OLD BRIDGE,NJ
021206537,VALLEY NATIONAL BANK,WAYNE,NJ
021206566,VALLEY NATIONAL BANK,WAYNE,NJ
021206582,COLUMBIA BANK,FAIR LAWN,NJ
021206676,SANTANDER BANK,READING,PA
021206948,BRUNSWICK BK & TR. CO.,NEW BRUNSWICK,NJ
021207002,SANTANDER BANK,READING,PA
021207028,SANTANDER BANK,READING,PA
021207044,VALLEY NATIONAL BANK,WAYNE,NJ
021207112,FLAGSTAR BANK  NA,HICKSVILLE,NY
021207138,TD BANK NA - PAYCARD ONLY,LEWISTON,ME
021207154,LAKELAND BANK,OAKRIDGE,NJ
021207196,PROVIDENT BANK,ISELIN,NJ
021207358,SANTANDER BANK,READING,PA
021207413,TD BANK NA,LEWISTON,ME
021209990,FULTON BANK  NA,EAST PETERSBURG,PA
021210044,FULTON BANK  NA,EAST PETERSBURG,PA
021210057,UNITY BANK,CLINTON,NJ
021210073,WOORI AMERICA BANK,BAYSIDE,NY
021210112,CROWN BANK,ELIZABETH,NJ
021213041,LAKELAND BANK,OAK RIDGE,NJ
021213054,KEARNY FEDERAL SAVINGS BANK,FAIRFIELD,NJ
021213096,CATHAY BANK,ROSEMEAD,CA
021213177,FLAGSTAR BANK  NA,HICKSVILLE,NY
021213180,KEARNY FEDERAL SAVINGS BANK,FAIRFIELD,NJ
021213216,OCEANFIRST BANK  NATIONAL ASSOCIATIO,TOMS RIVER,NJ
021213232,LAKELAND BANK,OAK RIDGE,NJ
021213300,CONNECTONE BANK,ENGLEWOOD CLIFFS,NJ
021213313,FIRST BANK,HAMILTON,NJ
021213339,VALLEY NATIONAL BANK,WAYNE,NJ
021213371,NEW MILLENNIUM BANK,NEW BRUNSWICK,NJ
021213397,WEBSTER BANK  N.A.,NEW BRITIAN,CT
021213410,HAVEN SAVINGS BANK,HOBOKEN,NJ
021213449,CITIZENS BANK  NATIONAL ASSOCIATION,RIVERSIDE,RI
021213465,OCEANFIRST BANK  NATIONAL ASSOCIATIO,TOMS RIVER,NJ
021213481,BCB COMMUNITY BANK,BAYONNE,NJ
021213504,LAKELAND BANK,OAKRIDGE,NJ
021213520,BCB COMMUNITY BANK,BAYONNE,NJ
021213559,SPENCER SAVINGS BANK  SLA,ELMWOOD PARK,NJ
021213591,SYNCHRONY BANK,SHAWNEE MISSION,KS
021213698,LAKELAND BANK,OAKRIDGE,NJ
021213711,PROVIDENT BANK,ISELIN,NJ
021213892,CONNECTONE BANK,UNION,NJ
021213944,CONNECTONE BANK,ENGLEWOOD CLIFFS,NJ
021213986,LAKELAND BANK,OAKRIDGE,NJ
021214053,THE PROVIDENT BANK,JERSEY CITY,NJ
021214066,BCB COMMUNITY BANK,BAYONNE,NJ
021214082,FIRST COMMERCE BANK,LAKEWOOD,NJ
021214095,LAKELAND BANK,OAKRIDGE,NJ
021214163,FIRST BANK,WILLIAMSTOWN,NJ
021214189,CONNECTONE BANK,ENGLEWOOD CLIFFS,NJ
021214273,CROSS RIVER BANK,TEANECK,NJ
021214312,PEAPACK-GLADSTONE BANK,BEDMINSTER,NJ
021214396,PROVIDENT BANK,ISELIN,NJ
021214435,REGAL BANK,LIVINGSTON,NJ
021214493,FREEDOM BANK,MAYWOOD,NJ
021214529,LAKELAND BANK,OAKRIDGE,NJ
021214574,REGAL BANK,LIVINGSTON,NJ
021214862,CROSS RIVER BANK,TEANECK,NJ
021214875,INDUSTRIAL BANK,WASHINGTON,DC
021214891,CROSS RIVER BANK,TEANECK,NJ
021272626,BANCO POPULAR  NORTH AMERICA,NEW YORK,NY
021272655,CITIBANK NA,NEW CASTLE,DE
021272723,JPMORGAN CHASE BANK  NA,TAMPA,FL
021272749,CONNECTONE BANK,ENGLEWOOD CLIFFS,NJ
021272794,CITIZENS BANK  NATIONAL ASSOCIATION,RIVERSIDE,RI
021283547,AFFINITY FEDERAL CREDIT UNION,BASKING RIDGE,NJ
021283615,HMC (NJ) FEDERAL CREDIT UNION,FLEMINGTON,NJ
021283738,NESTLE (FREEHOLD) FCU,FREEHOLD ,NJ
021283767,AFFINITY FEDERAL CREDIT UNION,BASKING RIDGE,NJ
021283770,ATLANTIC HEALTH FCU,SUMMIT,NJ
021283851,PINNACLE FCU,EDISON,NJ
021283916,1ST BERGEN FEDERAL CREDIT UNION,HACKENSACK,NJ
021283929,LIBERTY SAVINGS F.C.U.,JERSEY CITY,NJ
021283932,ILA LOCAL 1235 FCU,NEWARK,NJ
021283958,POLISH & SLAVIC FEDERAL CREDIT UNION,FAIRFIELD,NJ
021283990,MAUN FEDERAL CREDIT UNION,KANDELL PARK,NJ
021300019,BANK OF AMERICA N.A,RICHMOND,VA
021300077,KEY BANK,ALBANY,NY
021300336,M & T BANK,AMHERST,NY
021300381,KEY BANK,ALBANY,NY
021300420,HSBC BANK  USA,BUFFALO,NY
021300462,JPMORGAN CHASE BANK  NA,TAMPA,FL
021300556,KEY BANK,ALBANY,NY
021300640,HSBC BANK USA,BUFFALO,NY
021300912,TRUSTCO BANK,LONGWOOD,FL
021301089,HSBC BANK  USA,BUFFALO,NY
021301115,CHEMUNG CANAL TRUST CO,ELMIRA,NY
021301678,HSBC BANK  USA,BUFFALO,NY
021301869,HSBC BANK  USA,BUFFALO,NY
021302130,NBT BANK NA,NORWICH,NY
021302143,NBT BANK,NORWICH,NY
021302554,GLENS FALLS NATL BK&TR CO,GLENS FALLS,NY
021302567,TD BANK NA,LEWISTON,ME
021302648,TOMPKINS TRUST COMPANY,ITHACA,NY
021302884,THE ADIRONDACK TRUST COMPANY,SARATOGA SPRINGS,NY
021302978,M & T BANK,AMHERST,NY
021303139,NBT BANK NA,NORWICH,NY
021303472,COMMUNITY BANK  NA,CANTON,NY
021303511,NBT BANK NA,NORWICH,NY
021303618,NBT BANK NA,NORWICH,NY
021304675,BALLSTON SPA NATIONAL BANK,BALLSTON SPA,NY
021305386,COMMUNITY BANK  NA,CANTON,NY
021305577,NBT BANK  NATIONAL ASSOCIATION,NORWICH,NY
021305991,FIRST NATL BK OF GROTON,GROTON,NY
021306547,CAYUGA LAKE NATL BK,UNION SPRINGS,NY
021306822,HSBC BANK  USA,BUFFALO,NY
021306974,NBT BANK NA,NORWICH,NY
021307054,NATIONAL BANK OF COXSACKIE,COXSACKIE,NY
021307096,DELAWARE NATL BK OF DELHI,DELHI,NY
021307164,FIRST NATL BK OF DRYDEN,DRYDEN,NY
021307520,NBT BANK NA,NORWICH,NY
021307559,COMMUNITY BANK N.A.,CANTON,NY
021307708,TD BANK NA,LEWISTON,ME
021307711,COMMUNITY BANK  NA,CANTON,NY
021307740,NBT BANK NA,NORWICH,NY
021308176,CITIBANK NYS,ENGLEWOOD CLIFFS,NJ
021308396,BANK OF RICHMONDVILLE,COBLESKILL,NY
021308642,TIOGA STATE BANK N.A.,SPENCER,NY
021308781,COMMUNITY BANK  N.A.,CANTON,NY
021308817,COMMUNITY BANK  NA,CANTON,NY
021308833,WAYNE BANK,HONESDALE,PA
021309201,CITIZENS NATIONAL BANK OF HAMMOND,HAMMOND,NY
021309285,WSB MUNICIPAL BANK,WATERTOWN,NY
021309379,JPMORGAN CHASE BANK  NA,TAMPA,FL
021309638,NBT BANK  N.A.,NORWICH,NY
021309735,SOLVAY BANK,SOLVAY,NY
021309997,GOUVERNEUR S/L ASSOC,GOUVERNEUR,NY
021310326,COMMUNITY BANK  N.A.,CANTON,NY
021310407,CHAMPLAIN NATIONAL BANK,WILLSBORO,NY
021310465,THE UPSTATE NATIONAL BANK,ROCHESTER,NY
021310591,COMMUNITY BANK  NA,CANTON,NY
021310711,FIRST NATL BANK OF SCOTIA,SCOTIA,NY
021311383,BANK OF UTICA,UTICA,NY
021311529,SARATOGA NATL BANK & TRUST COMPANY,GLENSFALLS,NY
021313103,CITIZENS BANK NA,RIVERSIDE,RI
021313569,KEYBANK NATIONAL ASSOCIATION,ALBANY,NY
021313734,PATHFINDER BANK,OSWEGO,NY
021313886,GREENE COUNTY COMMERCIAL BANK,CATSKILL,NY
021313925,PIONEER COMMERCIAL BANK,ALBANY,NY
021314306,TIOGA STATE BANK,SPENCER,NY
021314416,CHAMPLAIN NATIONAL BANK,WILLSBORO,NY
021314814,CAYUGA LAKE NATIONAL BANK,UNION SPRINGS,NY
021315062,GENERATIONS COMMERCIAL BANK,SENECA FALLS,NY
021372940,AVIDIA BANK,HUDSON,MA
021372953,KEYBANK NATIONAL ASSOCIATION,ALBANY,NY
021373059,COMMUNITY BANK  NA,CANTON,NY
021382642,STEWART'S FEDERAL CREDIT UNION,BALLSTON SPA,NY
021382655,OSWEGO COUNTY PUBLIC F.C.U.,OSWEGO,NY
021383463,UHS EMPLOYEES FCU,JOHNSON CITY,NY
021383528,CROUSE FCU,SYRACUSE,NY
021383751,NY FIREFIGHTERS BRAVEST FCU,ALBANY,NY
021384200,CVPH EMPLOYEES FCU,PLATTSBURGH,NY
021384239,DIRECTORS CHOICE CU,ALBANY,NY
021384365,FASNY FCU,ALBANY,NY
021401617,VALLEY NATIONAL BANK,WAYNE,NJ
021404465,BANK OF AMERICA  N.A.,RICHMOND,VA
021405464,MANUFACTURERS & TRADERS TRUST CO,AMHERST,NY
021406667,DIME COMMUNITY BANK,BRIDGEHAMPTON,NY
021407912,CAPITAL ONE  N.A.,RICHMOND,VA
021408597,MANUFACTURERS & TRADERS TRUST CO,AMHERST,NY
021408704,CAPITAL ONE  N.A.,RICHMOND,VA
021409169,JPMORGAN CHASE BANK  NA,TAMPA,FL
021409567,CAPITAL ONE  N.A.,RICHMOND,VA
021410080,HSBC BANK  USA,BUFFALO,NY
021410637,JPMORGAN CHASE BANK  NA,TAMPA,FL
021411335,FIRST NATIONAL BANK OF LI,GLEN HEAD,NY
021412114,FLAGSTAR BANK  NA,HICKSVILLE,NY
021413155,DIME COMMUNITY BANK,BRIDGEHAMPTON,NY
021413388,AMERICAN COMMUNITY BANK,GLEN COVE,NY
021413728,VALLEY NATIONAL BANK,WAYNE,NJ
021413935,DIME COMMUNITY BANK,BRIDGEHAMPTON,NY
021414125,LENDINGCLUB BANK  NA,BOSTON,MA
021414280,DIME COMMUNITY BANK,BRIDGEHAMPTON,NY
021414345,FLUSHING BANK,FLUSHING,NY
021414426,FLUSHING BANK,UNIONDALE,NY
021414455,CITIZENS BANK  NATIONAL ASSOCIATION,RIVERSIDE,RI
021414468,HANOVER COMMUNITY BANK,GARDEN CITY PARK,NY
021473030,QUONTIC BANK,ASTORIA,NY
021473098,WEBSTER BANK  N.A.,NEW BRITIAN,CT
021483282,PEOPLE'S ALLIANCE FCU,HAUPPAUGE,NY
021483428,THE HEART CENTER FCU,ROSLYN,NY
021484524,AMERICAN BROADCAST EMPLOYEES FCU,ROCKVILLE CENTRE,NY
021502011,BANCO POPULAR,SAN JUAN,PR
021502040,CITIBANK  PUERTO RICO,SAN JUAN,PR
021502095,BANCO POPULAR DE PUERTO RICO,SAN JUAN,PR
021502105,BANCO POPULAR NATIONAL ASSOCIATION,CULEBRA,PR
021502189,FACE BANK INTERNATIONAL CORPORATION,GUAYNABO,PR
021502228,ORIENTAL BANK,SAN JUAN,PR
021502341,FIRSTBANK PUERTO RICO,SAN JUAN,PR
021502354,FIRSTBANK PUERTO RICO,SAN JUAN,PR
021502383,BANCO COOPERATIVO DE PUERTO RICO,HATO REY,PR
021502723,FIRSTBANK PUERTO RICO,SAN JUAN,PR
021502736,ORIENTAL BANK AND TRUST,SAN JUAN,PR
021502752,ORIENTAL BANK AND TRUST,SAN JUAN,PR
021502794,ORIENTAL BANK,SAN JUAN,PR
